E,F,L,A,dL,materials,mat
0.041,24361,9,8056,663.7955046382639,고무,1
0.021,21640,6,3045,2030.4949566033308,고무,1
0.07200000000000001,14371,1,1909,104.55590477853443,고무,1
0.073,4710,5,6434,50.14030769754856,고무,1
0.097,29925,5,3840,401.6994201030928,고무,1
0.026000000000000002,19346,4,3185,934.4765124984905,고무,1
0.004,17067,5,8505,2508.3774250440915,고무,1
0.005,265,3,1591,99.93714644877436,고무,1
0.077,10821,1,7430,18.91419482267396,고무,1
0.07100000000000001,14844,4,9495,88.07600738713481,고무,1
0.088,8038,9,1629,504.6459065796082,고무,1
0.078,10711,6,991,831.4057284793914,고무,1
0.031,15355,1,1252,395.6250644130682,고무,1
0.044,38636,1,5914,148.47665016755312,고무,1
0.023,4172,6,5408,201.24774890661178,고무,1
0.001,37866,3,5690,19964.499121265377,고무,1
0.053,30762,5,4518,642.336315116891,고무,1
0.076,34394,2,8623,104.96408015283484,고무,1
0.003,38978,6,1901,41007.89058390321,고무,1
0.029,11966,7,7426,388.95028650501035,고무,1
0.093,34385,8,7626,387.8638162031985,고무,1
0.03,6381,1,3490,60.94555873925501,고무,1
0.044,866,2,8858,4.4438514747839655,고무,1
0.069,38445,8,4289,1039.261204091356,고무,1
0.05,18402,4,2905,506.76764199655764,고무,1
0.004,16709,6,4516,5549.933569530558,고무,1
0.096,7844,3,6941,35.315516496182106,고무,1
0.02,10224,9,1733,2654.818234275822,고무,1
0.036000000000000004,28965,6,3219,1499.6893445169305,고무,1
0.026000000000000002,32149,5,2627,2353.4449942900646,고무,1
0.025,14681,4,7504,313.02771855010656,고무,1
0.081,4469,1,3867,14.267607837127704,고무,1
0.09,23318,1,3398,76.24746582957296,고무,1
0.047,1652,2,5861,11.99417716096665,고무,1
0.065,2786,1,5430,7.893469329933419,고무,1
0.021,11796,5,8378,335.23172935920604,고무,1
0.096,15400,9,617,2339.9513776337117,고무,1
0.029,17107,4,2368,996.4468779123952,고무,1
0.067,13106,3,5274,111.26959061348548,고무,1
0.018000000000000002,17054,7,3843,1725.7640153815016,고무,1
0.051000000000000004,33413,2,1391,941.994051394821,고무,1
0.094,16219,9,1213,1280.2003122204487,고무,1
0.042,9494,1,2743,82.40890231411558,고무,1
0.054,35528,6,3422,1153.5814013897007,고무,1
0.069,32028,8,3889,954.8447684103435,고무,1
0.046,20744,6,6486,417.16607006395043,고무,1
0.077,36642,7,3836,868.3761493980471,고무,1
0.009000000000000001,35847,6,9510,2512.9337539432177,고무,1
0.01,34610,8,9580,2890.187891440501,고무,1
0.058,13780,3,8395,84.90275410240085,고무,1
0.08,35182,9,9404,420.8820714589536,고무,1
0.054,11587,8,9094,188.76100644299456,고무,1
0.066,8835,4,7744,69.14444027047332,고무,1
0.06,30998,2,4209,245.4898233943138,고무,1
0.08600000000000001,32043,3,5837,191.4988983668737,고무,1
0.08600000000000001,3820,6,702,379.6461935996819,고무,1
0.069,35758,3,8253,188.37945621881897,고무,1
0.055,7190,4,5717,91.46564472784519,고무,1
0.079,26468,1,1113,301.02243906877294,고무,1
0.021,23547,4,1192,3762.7037392138063,고무,1
0.039,22038,4,4779,472.96666505706054,고무,1
0.079,34084,9,918,4229.8337056341525,고무,1
0.03,29028,7,5375,1260.1302325581396,고무,1
0.088,22582,3,7199,106.93720087385876,고무,1
0.036000000000000004,11833,6,3701,532.8739980185535,고무,1
0.056,21166,2,5440,138.95745798319328,고무,1
0.098,4093,7,4344,67.30136806103657,고무,1
0.092,22357,9,5415,403.89618210285437,고무,1
0.074,24767,5,5324,314.3211769244827,고무,1
0.011,9537,2,5177,334.9430171914236,고무,1
0.058,9475,2,9584,34.09058200449024,고무,1
0.09,31787,8,1268,2228.3210655450407,고무,1
0.074,7384,7,4589,152.20886608988593,고무,1
0.055,26602,3,5938,244.36143176459782,고무,1
0.07200000000000001,2291,9,1577,181.59480025364616,고무,1
0.085,5371,9,8339,68.19692021190296,고무,1
0.034,35096,9,3071,3025.111575076139,고무,1
0.074,6793,2,5932,30.94986422700516,고무,1
0.073,26425,2,1998,362.34865001988294,고무,1
0.075,25757,7,2707,888.0630464228543,고무,1
0.064,10166,7,4775,232.85994764397904,고무,1
0.009000000000000001,21110,7,3169,5181.094632025524,고무,1
0.003,7677,1,2165,1181.986143187067,고무,1
0.021,19666,5,9656,484.9193198406123,고무,1
0.036000000000000004,37879,6,4718,1338.1023032358344,고무,1
0.039,26658,2,5144,265.76145471946404,고무,1
0.007,14374,6,8383,1469.709105161807,고무,1
0.055,8241,8,7199,166.50797459243077,고무,1
0.019,5301,2,5176,107.80525502318393,고무,1
0.085,26650,9,7982,353.51599923356963,고무,1
0.051000000000000004,38162,5,3034,1233.1485000064627,고무,1
0.046,11067,7,3739,450.4168750072677,고무,1
0.002,34031,3,9249,5519.137204022056,고무,1
0.007,20757,7,7547,2750.364383198622,고무,1
0.01,32876,4,8068,1629.9454635597422,고무,1
0.036000000000000004,38526,1,6105,175.29347529347527,고무,1
0.063,33686,5,2333,1145.9460194993842,고무,1
0.049,18746,9,9089,378.8252675919086,고무,1
0.073,13103,2,8146,44.069027911841765,고무,1
0.075,19062,6,8287,184.01834198141668,고무,1
0.052000000000000005,16358,4,7768,161.98605719717975,고무,1
0.037,6403,1,6471,26.743015616450943,고무,1
0.068,38814,4,551,4143.695953880644,고무,1
0.045,709,3,6520,7.249488752556238,고무,1
0.065,26823,8,1254,2632.6094957673904,고무,1
0.04,17138,4,7747,221.22111785207179,고무,1
0.059000000000000004,36732,6,4245,879.9664610409055,고무,1
0.083,22676,5,2355,580.0526948558565,고무,1
0.088,10123,4,506,909.3604024434064,고무,1
0.027,24296,4,7480,481.2041988512577,고무,1
0.036000000000000004,24846,4,7633,361.67518232237217,고무,1
0.022,2317,4,7427,56.72178904978152,고무,1
0.011,10614,8,3932,1963.1924535281607,고무,1
0.038,32952,1,7988,108.55757320190813,고무,1
0.036000000000000004,4560,9,165,6909.090909090909,고무,1
0.05,20280,7,3439,825.5888339633614,고무,1
0.03,12677,3,7726,164.0823194408491,고무,1
0.049,17966,1,3788,96.79331077732043,고무,1
0.07100000000000001,27890,7,6203,443.2884587875471,고무,1
0.026000000000000002,32828,1,1961,643.8630212215118,고무,1
0.036000000000000004,11494,4,5795,220.381554980347,고무,1
0.045,19422,5,6961,310.0129291768424,고무,1
0.004,24327,6,3792,9623.022151898733,고무,1
0.085,17170,2,5364,75.31692766592094,고무,1
0.093,10915,6,5298,132.91686455022588,고무,1
0.02,29359,7,3095,3320.080775444265,고무,1
0.016,22685,9,6330,2015.8471563981043,고무,1
0.031,14571,2,3608,260.5500321865389,고무,1
0.017,21871,5,2492,2581.319044471721,고무,1
0.027,17688,9,3436,1715.9487776484284,고무,1
0.001,33731,9,7748,39181.595250387196,고무,1
0.004,32313,8,9016,7167.923691215617,고무,1
0.019,6559,9,7666,405.2823815343211,고무,1
0.051000000000000004,27828,7,5212,732.833732111417,고무,1
0.094,6132,2,4139,31.52164414263904,고무,1
0.064,19242,4,1689,712.0337477797513,고무,1
0.097,31375,6,2449,792.4547364167155,고무,1
0.059000000000000004,673,8,6336,14.402499571991097,고무,1
0.057,23760,7,118,24727.921498661908,고무,1
0.039,2170,5,4239,65.62989577851573,고무,1
0.075,9807,6,8195,95.73642464917633,고무,1
0.007,37755,1,9929,543.2139619872523,고무,1
0.07,1331,2,6820,5.576036866359447,고무,1
0.049,8929,7,9277,137.49826760498314,고무,1
0.004,4349,1,5273,206.19192110752894,고무,1
0.045,17601,1,6031,64.8538108660808,고무,1
0.035,15146,9,5175,752.5962732919254,고무,1
0.095,29366,8,8238,300.185277468982,고무,1
0.08,33596,2,9533,88.10447917759362,고무,1
0.055,13418,8,4809,405.84510104160756,고무,1
0.094,2386,2,4798,10.58064973880961,고무,1
0.099,27548,1,9293,29.94325043179019,고무,1
0.037,39857,6,276,23417.74383078731,고무,1
0.004,20343,7,6678,5330.974842767296,고무,1
0.049,22536,3,8779,157.16540631516304,고무,1
0.05,5243,7,3703,198.22306238185254,고무,1
0.037,27294,8,7714,765.0253312685254,고무,1
0.052000000000000005,6875,2,9279,28.496936838352937,고무,1
0.097,35679,8,2123,1386.0564946511208,고무,1
0.08700000000000001,4112,4,2030,93.13175924353094,고무,1
0.085,18403,6,1800,721.6862745098039,고무,1
0.047,21494,2,5121,178.60540868430783,고무,1
0.065,17783,2,2789,196.18832225501282,고무,1
0.08700000000000001,2456,1,9994,2.8246833157365683,고무,1
0.079,7289,5,568,812.1991442324835,고무,1
0.039,29806,9,9316,738.3327278131915,고무,1
0.032,10362,6,9849,197.26621992080413,고무,1
0.027,25963,1,2445,393.28940392335073,고무,1
0.047,1558,5,5271,31.44463685279147,고무,1
0.002,23293,1,4607,2528.0008682439766,고무,1
0.022,32581,1,4451,332.724004820163,고무,1
0.024,20289,7,9257,639.2594793129523,고무,1
0.068,35185,8,194,21337.174044875683,고무,1
0.084,705,5,555,75.6113256113256,고무,1
0.05,37597,1,3993,188.31455046331078,고무,1
0.046,38233,1,8078,102.89083608727947,고무,1
0.011,38915,9,6787,4691.254671363704,고무,1
0.02,26535,8,8375,1267.3432835820895,고무,1
0.003,34882,6,532,131135.33834586464,고무,1
0.094,14984,2,7501,42.50213446717742,고무,1
0.012,10846,5,7023,643.4809435663772,고무,1
0.068,33745,8,4174,951.1260182079541,고무,1
0.079,16939,8,839,2044.5074757471973,고무,1
0.09,2125,8,1855,101.82689427972447,고무,1
0.023,35649,4,8858,699.9126311759451,고무,1
0.035,9612,8,1215,1808.253968253968,고무,1
0.091,31474,4,836,1654.8714443451288,고무,1
0.017,1439,1,1201,70.48048195131507,고무,1
0.073,31787,6,7663,340.9409026473054,고무,1
0.07,12050,6,4606,224.2416723528317,고무,1
0.032,20422,9,8637,665.0095519277527,고무,1
0.066,9903,5,1367,548.8129281106603,고무,1
0.073,22650,6,5558,334.94851306521025,고무,1
0.026000000000000002,11397,8,345,10164.548494983277,고무,1
0.07200000000000001,18590,7,4167,433.73196810921786,고무,1
0.045,13033,7,9662,209.82773292854023,고무,1
0.055,9569,7,5434,224.1208552213337,고무,1
0.01,1731,6,9200,112.8913043478261,고무,1
0.049,38318,1,6391,122.35956814270068,고무,1
0.047,8489,5,9853,91.65585165766555,고무,1
0.038,38533,6,8531,713.1822640648039,고무,1
0.09,38416,4,1729,987.4943769680613,고무,1
0.045,31136,3,1761,1178.7242097293206,고무,1
0.059000000000000004,26289,9,6457,621.0603129437767,고무,1
0.08,7801,9,8898,98.63031018206338,고무,1
0.042,20439,9,853,5134.5670741919275,고무,1
0.04,28844,7,8313,607.2055816191507,고무,1
0.046,30548,4,9396,282.7104966035501,고무,1
0.038,10933,8,4339,530.4642107689135,고무,1
0.081,25484,6,3345,564.3359353374301,고무,1
0.029,13079,6,4732,571.8512256973795,고무,1
0.035,23198,3,4748,418.78685762426284,고무,1
0.017,31909,4,3587,2093.1140228603285,고무,1
0.003,9414,8,1381,18178.131788559018,고무,1
0.046,24827,6,4653,695.9605303731114,고무,1
0.043000000000000003,2117,3,7755,19.045477036570553,고무,1
0.019,22483,3,1978,1794.7155553190357,고무,1
0.014,18664,4,8823,604.3943588996292,고무,1
0.007,806,1,8561,13.449697131510003,고무,1
0.038,8911,7,3622,453.20265046935396,고무,1
0.067,37599,5,9689,289.59598744845283,고무,1
0.039,27255,2,4205,332.3881825665417,고무,1
0.048,17498,2,3648,199.85836988304092,고무,1
0.033,21221,2,3274,392.8287147590752,고무,1
0.042,37746,1,2286,393.13835770528686,고무,1
0.075,23031,8,4626,531.0505836575876,고무,1
0.096,14330,9,4948,271.5112166531932,고무,1
0.085,27029,9,3065,933.7338067363976,고무,1
0.031,29582,4,3538,1078.8672295264319,고무,1
0.08600000000000001,3912,8,3176,114.58028235018452,고무,1
0.07200000000000001,28019,9,9208,380.3621850564726,고무,1
0.066,23482,6,4708,453.42550397775545,고무,1
0.06,33333,8,5459,814.1417842095623,고무,1
0.085,29089,8,2846,961.9775949733371,고무,1
0.073,12334,6,5463,185.56716541415602,고무,1
0.081,21806,9,3164,765.7676639977525,고무,1
0.039,1093,2,2065,27.14347799093562,고무,1
0.016,25746,9,2400,6034.21875,고무,1
0.009000000000000001,14191,4,914,6900.559202528567,고무,1
0.001,33370,1,9249,3607.95761703968,고무,1
0.091,29318,4,3976,324.1205474605877,고무,1
0.092,4719,7,7709,46.57599530757387,고무,1
0.07100000000000001,14962,2,539,781.9383835480414,고무,1
0.07100000000000001,4795,9,7609,79.88131178978192,고무,1
0.015,15064,3,3330,904.7447447447448,고무,1
0.058,15968,1,696,395.5608402695204,고무,1
0.049,28439,1,945,614.1669366159163,고무,1
0.001,25965,7,1668,108965.8273381295,고무,1
0.094,22094,1,9207,25.528679612413313,고무,1
0.025,11444,9,2427,1697.5030902348578,고무,1
0.076,15901,9,8547,220.312759786444,고무,1
0.079,31775,2,8672,92.76180578261479,고무,1
0.089,27801,3,2101,446.03158474562673,고무,1
0.08,27626,7,3817,633.291852239979,고무,1
0.057,38883,5,3270,1043.0548849187187,고무,1
0.014,31158,6,9462,1411.2691366971646,고무,1
0.018000000000000002,5140,9,3857,666.3209748509204,고무,1
0.038,34053,8,7382,971.1531606040296,고무,1
0.005,19356,6,3039,7643.040473840078,고무,1
0.079,16333,5,5070,203.89234264599403,고무,1
0.04,26993,2,3803,354.890875624507,고무,1
0.038,32221,6,7437,684.08314048534,고무,1
0.015,763,3,876,174.20091324200914,고무,1
0.067,15096,6,2224,607.8599806721786,고무,1
0.074,27576,3,9948,112.37896521370588,고무,1
0.001,35252,6,1860,113716.12903225806,고무,1
0.066,35504,8,5424,793.4209350138553,고무,1
0.004,17787,1,8314,534.8508539812365,고무,1
0.057,34471,8,773,6258.7776037765825,고무,1
0.01,9642,9,884,9816.515837104072,고무,1
0.093,1920,7,8082,17.88123348580278,고무,1
0.029,31778,8,8393,1044.4828818761118,고무,1
0.046,10379,9,4108,494.32178993268707,고무,1
0.016,2151,5,5907,113.79507364144236,고무,1
0.073,23098,2,916,690.8536220613747,고무,1
0.036000000000000004,20704,9,2713,1907.851087357169,고무,1
0.038,10543,8,4089,542.8170573168063,고무,1
0.099,26499,4,4203,254.73867872154807,고무,1
0.012,21764,5,6012,1508.3721445996894,고무,1
0.01,26127,1,4949,527.9248332996565,고무,1
0.096,14195,9,8196,162.3696010248902,고무,1
0.05,17589,5,9044,194.48252985404687,고무,1
0.069,10108,4,790,741.7354613832324,고무,1
0.029,2186,4,8473,35.58565341429368,고무,1
0.093,19689,8,3526,480.3395970943955,고무,1
0.049,1411,4,9312,12.369380741987516,고무,1
0.045,37743,8,6095,1100.880503144654,고무,1
0.011,6401,6,5311,657.4005922527858,고무,1
0.053,34923,9,6828,868.529694598269,고무,1
0.093,34742,3,6399,175.13825244871933,고무,1
0.061,28960,5,7472,317.68877031628466,고무,1
0.045,10397,2,5673,81.45406114734513,고무,1
0.013000000000000001,35127,3,4783,1694.8004953440873,고무,1
0.02,6141,2,1496,410.4946524064171,고무,1
0.068,11435,7,1966,598.7448387289809,고무,1
0.028,17278,4,7242,340.8292894622638,고무,1
0.056,22573,9,8513,426.14866338876675,고무,1
0.065,31508,8,9303,416.84485567104076,고무,1
0.01,9435,6,3588,1577.7591973244146,고무,1
0.034,12001,9,6142,517.2151244086042,고무,1
0.003,25079,5,6471,6459.3313758821405,고무,1
0.003,19905,1,1211,5478.943022295623,고무,1
0.028,35229,8,575,17505.093167701863,고무,1
0.064,30721,7,2282,1472.4405674846626,고무,1
0.097,1471,1,9435,1.6073077322319287,고무,1
0.08,12133,6,2932,310.35982264665756,고무,1
0.004,822,2,5043,81.49910767400357,고무,1
0.026000000000000002,20707,1,7232,110.12487236215112,고무,1
0.045,8909,4,3636,217.79733528908446,고무,1
0.008,28726,2,5779,1242.6890465478457,고무,1
0.05,15036,5,314,4788.535031847134,고무,1
0.068,22610,3,8579,116.27229280801957,고무,1
0.018000000000000002,1847,4,1659,247.40472841738662,고무,1
0.061,11155,2,4486,81.52869035176833,고무,1
0.058,26647,3,9097,151.51072919075256,고무,1
0.056,4633,3,7442,33.35076976235267,고무,1
0.038,11508,9,5470,498.2776869046474,고무,1
0.09,19247,3,320,2004.8958333333335,고무,1
